IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
188.164.248.13,4,4,0.00,54.98,26.01,SIN,443
188.164.248.145,4,4,0.00,48.03,24.20,SIN,443
50.62.172.8,4,4,0.00,151.98,24.11,SJC,443
74.48.200.172,4,4,0.00,168.91,23.62,LAX,443
50.62.172.12,4,4,0.00,164.56,23.57,SJC,443
8.39.125.92,4,4,0.00,50.21,23.48,SIN,443
207.246.98.244,4,4,0.00,163.59,22.86,LAX,443
50.62.172.15,4,4,0.00,155.47,22.22,SJC,443
188.164.248.130,4,4,0.00,52.77,22.04,SIN,443
188.164.248.134,4,3,0.25,57.35,21.86,SIN,443
188.164.248.141,4,4,0.00,53.33,21.21,SIN,443
192.65.217.74,4,4,0.00,158.14,21.14,SJC,443
188.164.248.41,4,4,0.00,60.28,21.14,SIN,443
188.164.248.144,4,4,0.00,48.92,20.51,SIN,443
92.243.74.3,4,3,0.25,150.43,20.44,SJC,443
188.164.248.11,4,4,0.00,49.94,20.09,SIN,443
188.164.248.122,4,4,0.00,52.78,19.60,SIN,443
52.141.25.42,4,4,0.00,111.18,19.59,ICN,443
188.164.248.136,4,4,0.00,54.06,19.54,SIN,443
188.164.248.137,4,4,0.00,62.82,19.02,SIN,443
188.164.248.147,4,4,0.00,53.26,18.99,SIN,443
91.149.239.122,4,3,0.25,162.55,18.97,LAX,443
5.161.129.148,4,4,0.00,224.68,18.18,IAD,443
188.164.248.133,4,4,0.00,56.22,18.15,SIN,443
144.202.126.54,4,4,0.00,157.22,18.11,LAX,443
74.48.140.177,4,4,0.00,158.78,17.85,LAX,443
188.164.248.149,4,4,0.00,65.74,17.81,SIN,443
195.85.59.251,4,3,0.25,149.66,17.57,SJC,443
50.62.172.23,4,4,0.00,156.14,17.48,SJC,443
188.164.248.14,4,4,0.00,48.35,17.33,SIN,443
192.243.113.108,4,4,0.00,161.20,17.17,LAX,443
216.40.87.26,4,4,0.00,161.98,17.03,LAX,443
50.62.172.21,4,4,0.00,156.18,16.96,SJC,443
192.9.139.160,4,4,0.00,152.91,16.80,SJC,443
154.9.227.100,4,4,0.00,159.21,16.75,LAX,443
216.24.57.1,4,4,0.00,155.70,16.71,SJC,443
104.194.82.58,4,4,0.00,160.81,16.62,LAX,443
72.18.83.181,4,4,0.00,157.20,16.56,LAX,443
192.9.157.76,4,3,0.25,162.90,16.25,SJC,443
188.164.248.146,4,4,0.00,58.40,15.96,SIN,443
47.89.235.210,4,4,0.00,153.99,15.95,SJC,443
50.62.172.5,4,4,0.00,157.07,15.87,SJC,443
188.164.248.129,4,4,0.00,47.42,15.67,SIN,443
50.62.172.30,4,4,0.00,151.91,15.48,SJC,443
188.164.248.12,4,3,0.25,70.96,15.23,SIN,443
104.224.181.22,4,4,0.00,159.57,15.10,LAX,443
137.184.228.14,4,4,0.00,162.22,15.02,SJC,443
23.105.195.30,4,4,0.00,162.92,14.79,LAX,443
45.77.121.176,4,4,0.00,159.33,14.69,LAX,443
194.36.55.213,4,4,0.00,155.77,14.66,SJC,443
139.60.162.153,4,4,0.00,221.30,14.49,EWR,443
141.193.213.207,4,4,0.00,152.86,14.27,SJC,443
156.225.72.42,4,4,0.00,154.89,14.22,SJC,443
50.62.172.41,4,3,0.25,153.65,14.03,SJC,443
50.62.172.6,4,3,0.25,157.52,13.98,SJC,443
188.164.248.121,4,4,0.00,48.03,13.76,SIN,443
50.62.172.3,4,4,0.00,160.08,13.40,SJC,443
204.110.222.104,4,4,0.00,231.94,13.20,IAD,443
158.101.183.27,4,4,0.00,196.89,13.18,FRA,443
154.197.75.144,4,4,0.00,160.02,13.07,SJC,443
207.246.92.49,4,4,0.00,224.39,13.03,EWR,443
50.62.172.1,4,4,0.00,156.91,12.95,SJC,443
188.164.248.123,4,4,0.00,48.35,12.93,SIN,443
77.105.163.73,4,4,0.00,154.70,12.66,SJC,443
5.35.70.49,4,4,0.00,239.07,12.60,AMS,443
50.62.172.11,4,4,0.00,154.58,12.54,SJC,443
160.153.0.146,4,4,0.00,158.45,12.03,SJC,443
77.246.108.130,4,4,0.00,250.91,11.97,LHR,443
5.182.84.7,4,4,0.00,153.30,11.94,SJC,443
185.186.26.101,4,3,0.25,194.98,11.80,FRA,443
66.253.7.79,4,4,0.00,166.23,11.64,LAX,443
153.121.45.101,4,3,0.25,63.23,11.36,NRT,443
66.235.200.7,4,4,0.00,159.16,11.30,SJC,443
156.255.123.129,4,4,0.00,153.49,11.16,SJC,443
107.174.121.46,4,4,0.00,203.51,11.16,DFW,443
159.223.201.58,4,4,0.00,155.99,10.35,SJC,443
170.205.38.77,4,4,0.00,160.73,10.20,LAX,443
67.226.220.10,4,4,0.00,231.99,10.13,IAD,443
50.62.172.4,4,4,0.00,157.33,9.95,SJC,443
50.62.172.43,4,4,0.00,149.16,9.93,SJC,443
5.182.85.7,4,4,0.00,151.68,9.91,SJC,443
194.53.53.5,4,4,0.00,153.60,9.87,SJC,443
143.42.66.91,4,4,0.00,291.98,9.73,SIN,443
50.62.172.29,4,4,0.00,149.60,9.65,SJC,443
198.202.211.1,4,4,0.00,151.86,9.49,SJC,443
50.62.172.37,4,4,0.00,150.03,9.20,SJC,443
198.46.215.254,4,4,0.00,225.93,9.17,ORD,443
50.62.172.18,4,4,0.00,153.27,9.10,SJC,443
135.125.191.59,4,4,0.00,189.09,8.73,FRA,443
168.138.184.172,4,4,0.00,341.35,8.52,SIN,443
74.48.66.211,4,4,0.00,164.94,8.50,LAX,443
77.221.148.189,4,4,0.00,249.31,8.42,FRA,443
91.149.239.70,4,4,0.00,165.02,8.14,LAX,443
156.255.123.130,4,4,0.00,163.45,8.10,SJC,443
50.62.172.26,4,4,0.00,154.50,7.76,SJC,443
185.133.35.21,4,4,0.00,151.99,7.61,SJC,443
167.99.73.22,4,4,0.00,396.92,7.55,SIN,443
50.62.172.13,4,4,0.00,156.70,7.30,SJC,443
212.113.116.93,4,3,0.25,251.31,7.07,FRA,443
178.128.27.8,4,4,0.00,499.02,7.02,SIN,443
50.62.172.10,4,4,0.00,153.46,6.83,SJC,443
148.135.64.91,4,4,0.00,163.83,6.82,LAX,443
185.18.184.47,4,4,0.00,154.69,6.75,SJC,443
89.110.79.248,4,4,0.00,238.19,6.74,AMS,443
92.53.190.236,4,4,0.00,165.78,6.70,SJC,443
160.153.0.79,4,4,0.00,160.25,6.50,SJC,443
192.9.250.241,4,4,0.00,154.33,6.50,SJC,443
92.53.188.195,4,4,0.00,162.26,6.46,SJC,443
147.182.239.72,4,4,0.00,166.20,6.40,SJC,443
50.62.172.35,4,4,0.00,151.53,6.40,SJC,443
50.62.172.38,4,4,0.00,162.36,6.31,SJC,443
192.3.134.177,4,4,0.00,154.88,6.30,SJC,443
50.62.172.47,4,4,0.00,151.23,6.29,SJC,443
50.62.172.7,4,4,0.00,154.49,6.28,SJC,443
2.58.104.11,4,4,0.00,156.85,6.24,SJC,443
150.230.62.103,4,3,0.25,172.03,6.22,KIX,443
31.172.72.83,4,4,0.00,264.38,6.16,FRA,443
199.34.228.184,4,4,0.00,154.92,6.06,SJC,443
185.18.184.48,4,4,0.00,153.84,6.04,SJC,443
45.78.7.113,4,4,0.00,161.95,6.02,LAX,443
103.133.1.1,4,4,0.00,149.31,5.94,SJC,443
45.194.53.52,4,4,0.00,149.20,5.92,SJC,443
50.62.172.42,4,3,0.25,153.48,5.76,SJC,443
50.62.172.49,4,4,0.00,159.76,5.69,SJC,443
154.207.77.129,4,4,0.00,153.95,5.55,SJC,443
50.62.172.31,4,4,0.00,151.10,5.51,SJC,443
104.254.140.170,4,4,0.00,154.09,5.34,SJC,443
141.193.213.225,4,4,0.00,161.36,5.22,SJC,443
65.75.221.129,4,4,0.00,153.53,5.17,SJC,443
147.78.140.43,4,4,0.00,154.56,5.14,SJC,443
194.53.53.6,4,4,0.00,157.74,5.08,SJC,443
144.34.229.14,4,4,0.00,159.68,5.02,LAX,443
47.76.218.163,4,4,0.00,13.49,5.00,HKG,443
165.232.136.226,4,4,0.00,166.20,4.99,SJC,443
199.34.228.185,4,4,0.00,158.58,4.86,SJC,443
50.62.172.19,4,4,0.00,149.94,4.67,SJC,443
107.174.127.156,4,4,0.00,160.64,4.63,SJC,443
181.214.1.38,4,4,0.00,152.43,4.46,SJC,443
192.206.179.203,4,4,0.00,160.65,4.20,SJC,443
172.105.209.25,4,4,0.00,251.87,4.08,NRT,443
185.176.26.4,4,4,0.00,150.21,4.07,SJC,443
45.194.53.26,4,4,0.00,151.70,3.94,SJC,443
141.193.213.202,4,4,0.00,150.13,3.92,SJC,443
